,caseid,tname,tid
7881,103,SNUADC/PLETH,03c30c05cd20ceb0390e69850c47b2bf36345c4b
7882,103,Solar8000/ART_DBP,ae1d02ba1f71defa2fb8612a7a66af6cb6e2930c
7883,103,Solar8000/ART_MBP,2e9a0e1c17e96273b3f631070d0e96fd2f0ec9e0
7884,103,Solar8000/ART_SBP,d1481f2a245aa34b3c0d67252b430c478795d332
7957,104,SNUADC/PLETH,05b1f0b8fde8dc094fe97197f85264d7e47f6c6b
7958,104,Solar8000/ART_DBP,83cb40dca30e0e45b307818d9bf0edd84add6b97
7959,104,Solar8000/ART_MBP,22645a95a9a9aa7dcffda74c5d1aa645d60d966e
7960,104,Solar8000/ART_SBP,ca5a1353d730d3657e2b166831f7e8a4c0806b9a
8036,105,SNUADC/PLETH,e01978f4895666e2ef5002911fbf00aafd78802d
8037,105,Solar8000/ART_DBP,c26e42f6e3fc764ef2b6ab4cfd77d23aeb864b2b
8038,105,Solar8000/ART_MBP,f5fa0cf959e60c611d7337c1efe6018025e8b905
8039,105,Solar8000/ART_SBP,32df1b2a5c3215f4181a0a3ed4075a337155d9e6
8261,108,SNUADC/PLETH,24d24a53f5e6bf2eaf10fcd56e5cf707ce6ca930
8262,108,Solar8000/ART_DBP,9dd48b9d221c1d85e641aaf9c14bc2dbf9d8a625
8263,108,Solar8000/ART_MBP,e87895bd7c22893d36289e15ee5b12b3ea781fc5
8264,108,Solar8000/ART_SBP,a36d0a4ca62e7051deb8a76a0c7e1083cfeae61c
8407,110,SNUADC/PLETH,d4d6fc406ac369ec64957914aef881cc9b0f5d8d
8408,110,Solar8000/ART_DBP,b03f7c27122a88df944c9bc77c84f19d1e4fa714
8409,110,Solar8000/ART_MBP,e188afc829dd4b70fcb79d985cfe419d6c31ba9f
8410,110,Solar8000/ART_SBP,446088bcf520145967335e278a74bd4f64616321
8498,111,SNUADC/PLETH,80e4842d2924372ec204b3658fa00654ea3a7ded
8499,111,Solar8000/ART_DBP,6f2c123ada8b9f711f42343491be21c5c150acd0
8500,111,Solar8000/ART_MBP,8728758a8776ffad2b2529dda61a10363532c7e0
8501,111,Solar8000/ART_SBP,a8de9b246765215d31ad781735b29fe12f7f432a
8571,112,SNUADC/PLETH,6e1bb0df131251dba6d662d4720c7b8813ce22f8
8572,112,Solar8000/ART_DBP,2ff705f33534776e44348d973d12ed2ce1ea81d7
8573,112,Solar8000/ART_MBP,d120f9e0355c46c91203a8380085affd0cfbaa85
8574,112,Solar8000/ART_SBP,5006a4b410a2fea17dbc45378d0a1f153d9e2ec4
8728,114,SNUADC/PLETH,a142c1a2a76409faa8ff23583959a16f10d06992
8729,114,Solar8000/ART_DBP,29fc8ca90744be5a7a27cd0389e9e974cd059482
8730,114,Solar8000/ART_MBP,95e7bda67913e881ff2648b8f3b75bee0eb393f0
8731,114,Solar8000/ART_SBP,a927cae892b828426e268b95757c3e0eb00b4c69
8796,115,SNUADC/PLETH,3d977ba14cd805c7af7e3ca5799241068e53a1ba
8797,115,Solar8000/ART_DBP,fbcad9a2a31bf4a3128911af5d6c4dffe09c2442
8798,115,Solar8000/ART_MBP,6d81fe25a988e239511bf4e9157a6ef6ffc89acf
8799,115,Solar8000/ART_SBP,3eec4b23b88dfd24250052dea2a1ba67d5491e18
8868,116,SNUADC/PLETH,d2b936decdb6585ce5dbfe13c0e08598d46ac7a2
8869,116,Solar8000/ART_DBP,edd11e143c09708f9e6ed59bf2a9c01da85ee75b
8870,116,Solar8000/ART_MBP,24984a837c7477603476df77cd466e2b9f834633
8871,116,Solar8000/ART_SBP,9ce2553804c89126bd97a9a861d4bcd1e33e8289
8944,117,SNUADC/PLETH,b17ae224651cf6d6dd308e20f5e523417984c42b
8945,117,Solar8000/ART_DBP,18a64cbe8d1948afa5fb62f8ad68e07068cff615
8946,117,Solar8000/ART_MBP,031ec35316ae314498f3b4705ebdbc4f28dd0abf
8947,117,Solar8000/ART_SBP,cc6f7e4850762b52070c3c9961132b6898ebc3da
9038,118,SNUADC/PLETH,a6fb0a0db11471ef02be74fc9eea1f33fdfcb36d
9039,118,Solar8000/ART_DBP,5b0d86089de19ff747d7503a76b2d26518d1eccb
9040,118,Solar8000/ART_MBP,dbde9f4ba713adf690e7ffce5c2bfb04db2577ea
9041,118,Solar8000/ART_SBP,9bc1e1687d3d26c62bb943cd1f9ece88b51e8aba
9125,119,SNUADC/PLETH,4ebaeb3dabdcee24c2cf33fe4cabc95e792b54e6
9126,119,Solar8000/ART_DBP,bd82f57fd8a3153717e80d3a8a01209b54e53c19
9127,119,Solar8000/ART_MBP,7d78013d4db21f2e78e948d8a683a270f9cb2ad7
